3.1e-2	0.795	1.9e-3
3.6e-2	0.795	1.8e-3
2.7e-2	0.803	2.7e-3
1.8e-2	0.803	2.2e-4
2.6e-2	0.888	8.5e-4
3.2e-2	0.888	8.9e-4
2.5e-2	0.899	2.0e-3
1.5e-2	0.905	7.2e-4
2.1e-2	1.015	2.7e-4
2.0e-2	1.002	7.9e-4
1.3e-2	1.028	1.1e-3
1.3e-2	1.005	5.7e-4
1.0e-2	1.100	1.6e-4
1.5e-1	0.900	1.0e-3
1.5e-1	0.950	1.4e-3
1.0e-1	1.000	1.14e-3
1.0e-1	1.050	6.58e-4
1.0e-1	1.100	5.14e-4
1.0e-1	1.150	3.69e-4
5.0e-2	1.200	5.11e-4
